scenario,month,Vulnerability (average effect),Vulnerability (average effect)_lo,Vulnerability (average effect)_hi,Protection risk (average effect),Protection risk (average effect)_lo,Protection risk (average effect)_hi,Basic needs gap (average effect),Basic needs gap (average effect)_lo,Basic needs gap (average effect)_hi,Education access (average effect),Education access (average effect)_lo,Education access (average effect)_hi,Morbidity (average effect),Morbidity (average effect)_lo,Morbidity (average effect)_hi,Service efficiency (average effect),Service efficiency (average effect)_lo,Service efficiency (average effect)_hi
Durable Solutions,1,0.4591529293030098,0.45901425061617324,0.45928549780284417,0.45261359893430464,0.45245255483812075,0.4527281015690101,0.4518955293079423,0.45181315029780006,0.4520025214933822,0.44859078602079155,0.448476359560266,0.44868556830134526,0.4557438470701339,0.45558440827651886,0.4558720104050489,0.44222234063806687,0.4421154048406688,0.44234899426031654
Durable Solutions,2,0.4648541433563276,0.46466386442057467,0.46500730835141685,0.4591814986275877,0.45894822803444146,0.4593761318277781,0.45604662728952583,0.45588545926192264,0.45626231545979307,0.4466248122492778,0.44642313612037204,0.44680193061074175,0.4587037620238309,0.4585264970941876,0.458854874617573,0.44027113735756196,0.44008180812709796,0.440447813923748
Durable Solutions,3,0.47060688085654057,0.47033204797712713,0.47085274056861015,0.46575368958425695,0.4655118305175779,0.46601126079063265,0.4601401556248999,0.45996333112562326,0.46043430312789324,0.4446802940439996,0.4444652861018911,0.4449243930943243,0.4616841050408299,0.4614843345142613,0.46192963544263826,0.43828854048622523,0.4379920548286674,0.4385883851028933
Durable Solutions,4,0.47632837384302384,0.47601128432430445,0.4767202833887229,0.47232313887089755,0.47198006190001657,0.47258180592732185,0.4642653167017833,0.4640636508282718,0.4645445017267529,0.4427324210177028,0.4424413259974934,0.443012877029543,0.46466918671989654,0.46445920038397326,0.46494941034633447,0.43633351382010777,0.436119804345286,0.43667119575333585
Durable Solutions,5,0.48205120588819605,0.48171458243574333,0.48245726043101567,0.4788537710910255,0.4784370158757804,0.4791220567481661,0.46838642691178195,0.46810837113554576,0.4687607136005201,0.44074734224280876,0.4404574859376427,0.441109713260653,0.4676500515895589,0.4674134763349224,0.46802905066242045,0.4343480425463083,0.4339800597542436,0.4347068414811665
Durable Solutions,6,0.4877402999489716,0.48736840464272063,0.48821513577212095,0.48541180047251703,0.48489362031026,0.4858204737772127,0.4724960138478137,0.4722238728596284,0.4727886448158936,0.4387817410988575,0.4384498838441663,0.43923379259006384,0.4706293748185857,0.47032381280060753,0.4710153438433115,0.4323693258398825,0.4319163642518943,0.43273359793784877
Durable Solutions,7,0.49345200396604894,0.49311434460711856,0.49386777184476177,0.4919688271042186,0.4915486895732903,0.4924209257633341,0.47658888426451185,0.47629371402502513,0.4770897531106117,0.4368123053924763,0.43643339345561255,0.4372174011367896,0.47362118440486534,0.47328578039251057,0.4741625532832381,0.43043466808874464,0.43001132498242084,0.43083480820343845
Durable Solutions,8,0.49913919895387177,0.4986796717510873,0.4996098501683026,0.498468930965965,0.4979897861203334,0.49899067214764387,0.48074869227586364,0.4804296403417697,0.4812547372761171,0.43485840053910446,0.43450301844336303,0.43523415093299667,0.4766187315481984,0.4761854721374663,0.4771980004476086,0.42843533673336653,0.42791579909199406,0.42877113597350763
Durable Solutions,9,0.5048214959396699,0.504500148317989,0.5053200179345837,0.505014726547596,0.5044595017068936,0.50564128869718,0.48486329098748354,0.4844991110409498,0.48538314421862744,0.43288590356002177,0.4324252813197898,0.4333158989362082,0.4795698747892721,0.4790797316296409,0.4802400305362122,0.42645139487239697,0.425809006032856,0.4268510295987332
Durable Solutions,10,0.5105172751314944,0.5100448223069496,0.5111632709057636,0.5115274620724714,0.5110628362787644,0.5120773317924848,0.48891812416048763,0.4885685826433459,0.4894915814274937,0.4308997653914801,0.4303938966290239,0.4313744720135461,0.48260445321073525,0.48202577087192106,0.4832556310227365,0.4245092021338337,0.42396333903841826,0.424874857403117
